uid,created_at,updated_at,deleted_at,code,name_en,family,horizon,water_need,cost_class,main_zones_mask,note,name_hn,name_kn,name_ta,name_te,name_ml,name_mr,name_gu,name_bn,name_pa,name_ur,name_ne,name_or,name_as,icon_url
crop-022,2026-08-10 09:47:53.589862+00:00,,,22,Groundnut,Oilseed,SEASONAL,MEDIUM,MEDIUM,5888,Major oilseed,मूंगफली,ಕಡಲೆಕಾಯಿ / ಶೇಂಗಾ,நிலக்கடலை,వేరుశనగ,നിലക്കടല / കപ്പലണ്ടി,भुईमूग / शेंगदाणा,મગફળી,চীনাবাদাম,ਮੂੰਗਫਲੀ,مونگ پھلی,बदाम,ଚିନାବାଦାମ,বাদাম,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Groundnut.png
crop-023,2026-08-10 09:47:53.589862+00:00,,,23,Mustard,Oilseed,SEASONAL,LOW,LOW,184,Quick rabi oilseed,सरसों / राई,ಸಾಸಿವೆ,கடுகு,ఆవాలు,കടുക്,मोहरी / सरसो,રાઈ / સરસવ,সরিষা,ਸਰ੍ਹੋਂ / ਰਾਈ,سرسوں / رائی,तोरी,ସୋରିଷ,সৰিয়হ,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Indian_Mustard.jpeg
crop-024,2026-08-10 09:47:53.589862+00:00,,,24,Soybean,Oilseed,SEASONAL,MEDIUM,MEDIUM,384,Black-soil monsoon,सोयाबीन,ಸೋಯಾಬೀನ್,சோயாபீன்,సోయాచిక్కుడు,സോയാബീൻ,सोयाबीन,સોયાબીન,সয়াবিন,ਸੋਇਆਬੀਨ,سویا بین,भटमास,ସୋୟାବିନ୍,ছয়াবিন,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Soybean.png
crop-027,2026-08-10 09:47:53.589862+00:00,,,27,Castor,Oilseed,SEASONAL,LOW,MEDIUM,4352,Industrial oil,अरंडी,ಹರಳು,ஆமணக்கு,ఆముదం,ആവണക്ക്,एरंडी,એરંડા / દિવેલા,রেড়ী / ভেন্না,ਅਰਿੰਡ,ارنڈی,अँडिर,ଜଡ଼ା,এৰা,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Castor.jpg
crop-031,2026-08-10 09:47:53.589862+00:00,,,31,Cotton,Fibre,SEASONAL,MEDIUM,HIGH,4896,High cost/value,कपास,ಹತ್ತಿ,பருத்தி,పత్తి,പരുത്തി,कापूस,કપાસ,তুলা,ਕਪਾਹ / ਨਰਮਾ,کپاس,कपास,କପା,কপাহ,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/cotton_crop.jpg
crop-033,2026-08-10 09:47:53.589862+00:00,,,33,Sugarcane,Commercial,ANNUAL,HIGH,HIGH,816,Mill market,गन्ना,ಕಬ್ಬು,கரும்பு,చెరకు,കരിമ്പ്,ऊस,શેરડી,আখ,ਗੰਨਾ,گنا,उखु,ଆଖୁ,কুঁহিয়াৰ,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/sugarcane_crop.jpg
crop-034,2026-08-10 09:47:53.589862+00:00,,,34,Tobacco,Commercial,SEASONAL,MEDIUM,HIGH,5632,Regulated,तंबाकू,ತಂಬಾಕು,புகையிலை,పొగాకు,പുകയില,तंबाखू,તમાકુ,তামাক,ਤੰਬਾਕੂ,تمباکو,सुर्ती,ଧୂଆଁପତ୍ର,ধঁপাত,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Tobacco.jpeg
crop-035,2026-08-10 09:47:53.589862+00:00,,,35,Coffee,Plantation,PERENNIAL,HIGH,HIGH,2560,Ghats hills,कॉफ़ी,ಕಾಫಿ,காபி,కాఫీ,കാപ്പി,कॉफी,કોફી,কফি,ਕੌਫੀ,کافی,कफी,କଫି,কফি,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Coffee.jpg
crop-036,2026-08-10 09:47:53.589862+00:00,,,36,Potato,Vegetable,SEASONAL,MEDIUM,HIGH,52,Cold storage,आलू,ಆಲೂಗಡ್ಡೆ,உருளைக்கிழங்கு,బంగాళాదుంప,ഉരുളക്കിഴങ്ങ്,बटाटा,બટાકા,আলু,ਆਲੂ,آلو,आलु,ଆଳୁ,আলু,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/potato.jpg
crop-037,2026-08-10 09:47:53.589862+00:00,,,37,Onion,Vegetable,SEASONAL,MEDIUM,MEDIUM,4864,Price-volatile,प्याज,ಈರುಳ್ಳಿ,வெங்காயம்,ఉల్లిపాయ,സവാള / ഉള്ളി,कांदा,ડુંગળી / કાંદા,পেঁয়াজ,ਗੰਢਾ / ਪਿਆਜ਼,پیاز,प्याज,ପିଆଜ,পিয়াঁজ,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/onion.jpg
crop-038,2026-08-10 09:47:53.589862+00:00,,,38,Garlic,Vegetable,SEASONAL,MEDIUM,MEDIUM,4496,Stores well,लहसुन,ಬೆಳ್ಳುಳ್ಳಿ,பூண்டு,వెల్లుల్లి,വെളുത്തുള്ളി,लसूण,લસણ,রসুন,ਲਸਣ,لہسن,लसुन,ରସୁଣ,নহৰু,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/garlic.jpg
crop-039,2026-08-10 09:47:53.589862+00:00,,,39,Tomato,Vegetable,SEASONAL,MEDIUM,HIGH,1792,Perishable,टमाटर,ಟೊಮೇಟೊ,தக்காளி,టమోటా,തക്കാളി,टोमॅटो,ટામેટાં,টমেটো,ਟਮਾਟਰ,ٹماٹر,गोलभेंडा,ବିଲାତି ବାଇଗଣ,বিলাহী,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/tomato_crop.jpg
crop-040,2026-08-10 09:47:53.589862+00:00,,,40,Chilli,Vegetable,SEASONAL,MEDIUM,HIGH,1792,Spice-veg,मिर्च,ಮೆಣಸಿನಕಾಯಿ,மிளகாய்,మిరపకాయ,മുളക്,मिरची,મરચાં,মরিচ / লঙ্কা,ਮਿਰਚ,مرچ,खुर्सानी,ଲଙ୍କା,জ্বলকীয়া,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/chilli.jpg
crop-041,2026-08-10 09:47:53.589862+00:00,,,41,Brinjal,Vegetable,SEASONAL,MEDIUM,MEDIUM,1800,Long harvest,बैंगन,ಬದನೆಕಾಯಿ,கத்திரிக்காய்,వంకాయ,വഴുതനങ്ങ,वांगे,રીંગણ,বেগুন,ਬੈਂਗਣ,بینگن,भन्टा,ବାଇଗଣ,বেঙেনা,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/brinjal.jpg
crop-042,2026-08-10 09:47:53.589862+00:00,,,42,Okra,Vegetable,SEASONAL,MEDIUM,MEDIUM,776,Fast vegetable,भिंडी,ಬೆಂಡೆಕಾಯಿ,வெண்டைக்காய்,బెండకాయ,വെണ്ടയ്ക്ക,भेंडी,ભીંડા,ঢেঁড়শ,ਭਿੰਡੀ,بھنڈی,भिन्डी,ଭେଣ୍ଡି,ভেণ্ডী,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/Okra.jpg
crop-043,2026-08-10 09:47:53.589862+00:00,,,43,Cabbage,Vegetable,SEASONAL,MEDIUM,MEDIUM,49,Cool season,पत्तागोभी,ಎಲೆಕೋಸು,முட்டைக்கோஸ்,క్యాబేజీ,മുട്ടക്കോസ്,कोबी,કોબીજ,বাঁধাকপি,ਬੰਦ ਗੋਭੀ,بند گوبھی,बन्दागोभी,ବନ୍ଧାକୋବି,বন্ধাকবি,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/cabbage.jpg
crop-044,2026-08-10 09:47:53.589862+00:00,,,44,Cauliflower,Vegetable,SEASONAL,MEDIUM,MEDIUM,49,Cool season,फूलगोभी,ಹೂಕೋಸು,காலிஃபிளவர்,కాలీఫ్లవర్,കോളിഫ്ലവർ,फ्लॉवर,ફ્લાવર,ফুলকপি,ਫੁੱਲ ਗੋਭੀ,پھول گوبھی,काउली,ଫୁଲକୋବି,ফুলকবি,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/cauliflower.jpg
crop-045,2026-08-10 09:47:53.589862+00:00,,,45,Green peas,Vegetable,SEASONAL,MEDIUM,MEDIUM,177,Winter veg,हरी मटर,ಹಸಿರು ಬಟಾಣಿ,பச்சை பட்டாணி,పచ్చి బఠాణీలు,പച്ചപ്പട്ടാണി,हिरवा वाटाणा,લીલા વટાણા,মটরশুঁটি,ਹਰੇ ਮਟਰ,مٹر,हरियो केराउ,ମଟର ଛୁଇଁ,মটৰ মাহ,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/peas.jpg
crop-046,2026-08-10 09:47:53.589862+00:00,,,46,Carrot,Vegetable,SEASONAL,MEDIUM,MEDIUM,561,Loose soil,गाजर,ಕ್ಯಾರೆಟ್,கேரட்,క్యారెట్,കാരറ്റ്,गाजर,ગાજર,গাজর,ਗਾਜਰ,گاجر,गाजर,ଗାଜର,গাজৰ,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/carrot.jpg
crop-047,2026-08-10 09:47:53.589862+00:00,,,47,Radish,Vegetable,SEASONAL,MEDIUM,LOW,568,Very quick,मूली,ಮೂಲಂಗಿ,முள்ளங்கி,ముల్లంగి,മുള്ളങ്കി,मुळा,મૂળો,মুলা,ਮੂਲੀ,مولی,मुला,ମୂଳା,মূলা,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/radish.jpg
crop-048,2026-08-10 09:47:53.589862+00:00,,,48,Cucumber,Vegetable,SEASONAL,MEDIUM,MEDIUM,792,Summer demand,खीरा / ककड़ी,ಸೌತೆಕಾಯಿ,வெள்ளரிக்காய்,దోసకాయ,വെള്ളരിക്ക,काकडी,કાકડી,শসা,ਖੀਰਾ,کھیرا,काँक्रो,କାକୁଡ଼ି,তিয়ঁহ,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/cucumber.jpg
crop-049,2026-08-10 09:47:53.589862+00:00,,,49,Bitter gourd,Vegetable,SEASONAL,MEDIUM,MEDIUM,1800,Trellis crop,करेला,ಹಾಗಲಕಾಯಿ,பாகற்காய்,కాకరకాయ,പാവയ്ക്ക,कारले,કારેલા,করলা / উচ্ছে,ਕਰੇਲਾ,کریلا,तितो करेला,କଲରା,তিতা কেৰেলা,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/bitter-gourd.jpg
crop-050,2026-08-10 09:47:53.589862+00:00,,,50,Bottle gourd,Vegetable,SEASONAL,MEDIUM,LOW,792,Easy gourd,लौकी / घिया,ಸೋರೆಕಾಯಿ,சுரைக்காய்,సొరకాయ / ఆనపకాయ,ചുരയ്ക്ക,दुधी भोपळा,દૂધી,লাউ,ਘੀਆ / ਲੌਕੀ,لوکی,लौका,ଲାଉ,লাউ,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/bottle-gourd.jpg
crop-051,2026-08-10 09:47:53.589862+00:00,,,51,Pumpkin,Vegetable,SEASONAL,MEDIUM,LOW,840,Stores well,कद्दू / सीताफल,ಕುಂಬಳಕಾಯಿ,பூசணிக்காய்,గుమ్మడికాయ,മത്തങ്ങ,लाल भोपळा,કોળું,মিষ্টি কুমড়া,ਕੱਦੂ / ਪੇਠਾ,کدو,फर्सी,ବୋଇତି କଖାରୁ,ৰঙালাউ,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/pumpkin.jpg
crop-052,2026-08-10 09:47:53.589862+00:00,,,52,French beans,Vegetable,SEASONAL,MEDIUM,MEDIUM,769,Quick legume-veg,फ्रेंच बीन्स,ಹುರುಳಿಕಾಯಿ / ಬೀನ್ಸ್,பீன்ஸ்,బీన్స్,ബീൻസ്,फरसबी,ફણસી,ফ্রেঞ্চ বিন,ਫਲੀਆਂ / ਬੀਨਜ਼,فرانسیسی پھلیاں,सिमी,ବିନ୍ସ,ফ্ৰেন্স বীন,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/french-bean.jpg
crop-053,2026-08-10 09:47:53.589862+00:00,,,53,Capsicum,Vegetable,SEASONAL,MEDIUM,HIGH,769,High value,शिमला मिर्च,ದಪ್ಪ ಮೆಣಸಿನಕಾಯಿ,குடைமிளகாய்,బెంగళూరు మిరప / క్యాప్సికమ్,ക്യാപ്സിക്കം,ढोबळी मिरची,કેપ્સિકમ / સિમલા મરચાં,ক্যাপসিকাম,ਸ਼ਿਮਲਾ ਮਿਰਚ,شملہ مرچ,भेडे खुर्सानी,ଶିମଲା ଲଙ୍କା,ক্যাপচিকাম,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/capsicum.jpg
crop-054,2026-08-10 09:47:53.589862+00:00,,,54,Spinach,Vegetable,SEASONAL,MEDIUM,LOW,824,Multi-cut,पालक,ಪಾಲಕ್ ಸೊಪ್ಪು,பசலைக்கீரை / பாலக்,పాలకూర,പാലക്ക് ചീര,पालक,પાલક,পালং শাক,ਪਾਲਕ,پالک,पालुङ्गो,ପାଳଙ୍ଗ ଶାଗ,পালেং শাক,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/spinach_crop.jpg
crop-055,2026-08-10 09:47:53.589862+00:00,,,55,Fenugreek leaf,Vegetable,SEASONAL,LOW,LOW,4528,Quick greens,मेथी का साग,ಮೆಂತ್ಯ ಸೊಪ್ಪು,வெந்தயக்கீரை,మెంతికూర,ഉലുവച്ചീര,मेथीची भाजी,મેથીની ભાજી,মেথি শাক,ਮੇਥੀ,میتھی کا ساگ,मेथीको साग,ମେଥି ଶାଗ,মেথি শাক,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/fenugreek.jpg
crop-056,2026-08-10 09:47:53.589862+00:00,,,56,Watermelon,Vegetable,SEASONAL,MEDIUM,MEDIUM,4368,Riverbed cash,तरबूज,ಕಲ್ಲಂಗಡಿ,தர்பூசணி,పుచ్చకాయ,തണ്ണീർമത്തൻ,कलिंगड,તરબૂચ,তরমুজ,ਤਰਬੂਜ਼ / ਹਦਵਾਣਾ,تربوز,तर्बुजा,ତରଭୁଜ,তৰমুজ,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/watermelon.png
crop-057,2026-08-10 09:47:53.589862+00:00,,,57,Muskmelon,Vegetable,SEASONAL,MEDIUM,MEDIUM,12560,Summer fruit-veg,खरबूजा,ಖರಬೂಜ,முலாம் பழம்,కర్బూజ,തൈര്കുമ്പളം / മസ്ക്മെലൻ,खरबूज,ટેટી / શક્કરટેટી,খরবূজা,ਖ਼ਰਬੂਜ਼ਾ,خربوزہ,खरबुजा,ଖରଭୁଜା,খাৰবুজা,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/muskmelon.png
crop-058,2026-08-10 09:47:53.589862+00:00,,,58,Sweet potato,Vegetable,SEASONAL,LOW,LOW,1088,Poor-soil tuber,शकरकंद,ಗೆಣಸು,சர்க்கரைவள்ளிக்கிழங்கு,చిలగడదుంప,മധുരക്കിഴങ്ങ്,रताळे,શક્કરીયા,মিষ্টি আলু,ਸ਼ਕਰਕੰਦੀ,شکر قندی,सखरखण्ड,କନ୍ଦମୂଳ,মিঠা আলু,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/sweet-potato.jpg
crop-059,2026-08-10 09:47:53.589862+00:00,,,59,Tapioca,Vegetable,ANNUAL,LOW,LOW,3072,Drought-hardy tuber,कसावा / साबूदाना कंद,ಮರಗೆಣಸು,மரவள்ளிக்கிழங்கு,కర్రపెండలం,കപ്പ / മരച്ചീനി,कसावा / साबुदाणा कंद,સાબુદાણા કંદ,শিমুল আলু,ਟੈਪੀਓਕਾ,ٹیپیوکا,तरुल,କାଠ କନ୍ଦ,চিমলু আলু,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/tapioca.jpg
crop-060,2026-08-10 09:47:53.589862+00:00,,,60,Drumstick,Vegetable,ANNUAL,LOW,LOW,5632,Hardy tree-veg,सहजन / मोरिंगा,ನುಗ್ಗೆಕಾಯಿ,முருங்கைக்காய்,మునగకాయ,മുരിങ്ങയ്ക്ക,शेवगा,સરગવો,সজনে ডাঁটা,ਸੋਹਾਂਜਣਾ,سوہانجنا,सजिवन,ସଜନା ଛୁଇଁ,চজিনা,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/drumstick.jpg
crop-061,2026-08-10 09:47:53.589862+00:00,,,61,Turmeric,Spice,ANNUAL,MEDIUM,MEDIUM,3584,Rhizome,हल्दी,ಅರಿಶಿನ,மஞ்சள்,పసుపు,മഞ്ഞൾ,हळद,હળદર,হলুদ,ਹਲਦੀ,ہلدی,हलेदो / बेसार,ହଳଦୀ,হালধি,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Turmeric.jpeg
crop-063,2026-08-10 09:47:53.589862+00:00,,,63,Coriander,Spice,SEASONAL,LOW,LOW,4480,Seed spice,धनिया,ಕೊತ್ತಂಬರಿ,கொத்தமல்லி,ధనియాలు / కొత్తిమీర,മല്ലി / കൊത്തമല്ലി,धने / कोथिंबीर,ધાણા,ধনে,ਧਨੀਆ,دھنیا,धनिया,ଧନିଆ,ধনিয়া,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/coriander.jpg
crop-064,2026-08-10 09:47:53.589862+00:00,,,64,Cumin,Spice,SEASONAL,LOW,MEDIUM,12288,Arid spice,जीरा,ಜೀರಿಗೆ,சீரகம்,జీలకర్ర,ജീരകം,जिरे,જીરું,জিরা,ਜੀਰਾ,زیرہ,जिरा,ଜୀରା,জীৰা,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Cumin.png
crop-065,2026-08-10 09:47:53.589862+00:00,,,65,Fennel,Spice,SEASONAL,LOW,MEDIUM,4224,Gujarat leader,सौंफ,ಸೋಂಪು,சோம்பு,సోంపు,പെരുംജീരകം,बडीशेप,વરિયાળી,মৌরি,ਸੌਂਫ,سونف,सौंफ,ପାନମଧୁରୀ,মৌৰি,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Fennel.jpeg
crop-066,2026-08-10 09:47:53.589862+00:00,,,66,Fenugreek seed,Spice,SEASONAL,LOW,LOW,12416,Dual leaf/seed,मेथी दाना,ಮೆಂತ್ಯ ಕಾಳು,வெந்தயம்,మెంతులు,ഉലുവ,मेथी दाणे,મેથી દાણા,মেথি দানা,ਮੇਥੀ ਦਾਣਾ,میتھی دانہ,मेथी,ମେଥି ଦାନା,মেথি গুটি,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Fenugreek.jpeg
crop-067,2026-08-10 09:47:53.589862+00:00,,,67,Cardamom,Spice,PERENNIAL,HIGH,HIGH,2050,Shade plantation,इलायची,ಏಲಕ್ಕಿ,ஏலக்காய்,ఏలకులు,ഏലം / ഏലക്കായ,वेलची,એલચી,এলাচ,ਇਲਾਇਚੀ,الائچی,सुकुमेल / अलैंची,ଗୁଜୁରାତି / ଅଳେଇଚ,ইলাচী,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Cardamom.jpg
crop-069,2026-08-10 09:47:53.589862+00:00,,,69,Coconut,Plantation,PERENNIAL,MEDIUM,MEDIUM,19456,Coastal,नारियल,ತೆಂಗಿನಕಾಯಿ,தேங்காய்,కొబ్బరి,തേങ്ങ / നാളികേരം,नारळ,નાળિયેર,নারকেল,ਨਾਰੀਅਲ,ناریل,नरिवल,ନଡ଼ିଆ,নাৰিকল,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Coconut.png
crop-070,2026-08-10 09:47:53.589862+00:00,,,70,Arecanut,Plantation,PERENNIAL,MEDIUM,HIGH,2560,Humid zones,सुपारी,ಅಡಿಕೆ,பாக்கு,పోక చెక్క / వక్క,അടയ്ക്ക / അടക്ക,सुपारी,સોપારી,সুপারি,ਸੁਪਾਰੀ,سپاری,सुपारी,ଗୁଆ,তামোল,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/arecanut.png
crop-071,2026-08-10 09:47:53.589862+00:00,,,71,Cashew,Plantation,PERENNIAL,LOW,MEDIUM,19456,Coastal laterite,काजू,ಗೋಡಂಬಿ,முந்திரி,జీడిపప్పు,കശുവണ്ടി,काजू,કાજુ,কাজুবাদাম,ਕਾਜੂ,کاجو,काजु,କାଜୁ,কাজু বাদাম,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/cashew_crop.jpg
crop-072,2026-08-10 09:47:53.589862+00:00,,,72,Oil palm,Plantation,PERENNIAL,HIGH,HIGH,3072,Assured irrigation,ऑयल पाम,ಎಣ್ಣೆ ತಾಳೆ,எண்ணெய் பனை,ఆయిల్ పామ్,എണ്ണപ്പന,ऑईल पाम,ઓઈલ પામ,অয়েল পাম,ਤੇਲ ਪਾਮ,آئل پام,पाम तेल,ତୈଳ ତାଳ,পাম তেল,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Oil%20Palm.jpg
crop-073,2026-08-10 09:47:53.589862+00:00,,,73,Mulberry,Plantation,ANNUAL,MEDIUM,MEDIUM,2560,Sericulture feed,शहतूत,ಹಿಪ್ಪುನೇರಳೆ,மல்பெரி,మల్బరీ,മൾബെറി,तुती,શેતૂર,তুত,ਤੂਤ,شہتوت,किम्बु,ତୁତ,নুনি গছ,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/Mulberry.jpg
crop-076,2026-08-10 09:47:53.589862+00:00,,,76,Banana,Fruit,ANNUAL,HIGH,HIGH,3584,First bunch <1 yr,केला,ಬಾಳೆಹಣ್ಣು,வாழைப்பழம்,అరటి,വാഴപ്പഴം / ഏത്തപ്പഴം,केळी,કેળાં,কলা,ਕੇਲਾ,کیلا,केरा,କଦଳୀ,কল,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/banana.png
crop-077,2026-08-10 09:47:53.589862+00:00,,,77,Papaya,Fruit,ANNUAL,MEDIUM,MEDIUM,3840,Quick fruit,पपीता,ಪಪ್ಪಾಯಿ,பப்பாளி,బొప్పాయి,പപ്പായ / ഓമയ്ക്ക,पपई,પપૈયું,পেঁপে,ਪਪੀਤਾ,پپیتا,मेवा,ଅମୃତଭଣ୍ଡା,অমিতা,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/Papaya.jpg
crop-078,2026-08-10 09:47:53.589862+00:00,,,78,Pineapple,Fruit,ANNUAL,MEDIUM,MEDIUM,2054,NE & coast,अनानास,ಅನಾನಸ್,அன்னாசிப்பழம்,అనాస,കൈതച്ചക്ക,अननस,અનાનસ,আনারস,ਅਨਾਨਾਸ,انناس,भुइँकटर,ସପୁରି,আনাৰস,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/pineapple.png
crop-079,2026-08-10 09:47:53.589862+00:00,,,79,Mango,Fruit,PERENNIAL,LOW,MEDIUM,1792,Orchard king,आम,ಮಾವಿನಹಣ್ಣು,மாம்பழம்,మామిడి,മാങ്ങ / മാമ്പഴം,आंबा,કેરી,আম,ਅੰਬ,آم,Category,ଆମ୍ବ,আম,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/mango.png
