temp_level,moisture,wind_risk,rain_status,advisory_type,status,severity_score,title,message,time_window,icon_type,source,uid,created_at,updated_at,deleted_at
Moderate,Very Dry,Breezy,Light Rain,field_work,CAUTION,45,Limit Field Work Hours,FIELD WORK: It is getting very hot. Do your heavy work while it is still cool to keep yourself and your plants healthy.,Before 10 AM or After 5 PM,tractor,manual,d997089f-f2fd-4196-a178-5a8d80497c35,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Breezy,Heavy Rain,irrigation,CAUTION,45,Irrigation Caution,WATERING: The ground is dry. Best to water in the early morning so the plants stay strong during the heat.,Before 8 AM,droplet,manual,7b91d343-c859-436f-bf20-29d96db1e495,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Breezy,Heavy Rain,spraying,CAUTION,45,Spray With Caution,SPRAYING: The air is calm right now. Spray your crops now before the wind picks up and wastes your medicine.,Before 10 AM,spray,manual,fd450463-0a96-4c7a-8969-166ba7a95c7a,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Breezy,Heavy Rain,fungal_risk,CAUTION,45,Monitor Fungal Risk,DISEASE ALERT: It is very damp and warm. Check your leaves for rot and use protection to save your harvest.,,warning,manual,997366f0-26db-442b-9088-0691c23bc882,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Breezy,Heavy Rain,field_work,CAUTION,45,Limit Field Work Hours,FIELD WORK: It is getting very hot. Do your heavy work while it is still cool to keep yourself and your plants healthy.,Before 10 AM or After 5 PM,tractor,manual,32b52e90-97c3-4a51-97b7-b98fb63122be,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Strong Gusts,Dry,irrigation,CAUTION,45,Irrigation Caution,WATERING: The ground is dry. Best to water in the early morning so the plants stay strong during the heat.,Before 8 AM,droplet,manual,18394fba-ab23-411f-a80f-7607f9a98ff2,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Strong Gusts,Dry,spraying,CAUTION,45,Spray With Caution,SPRAYING: The air is calm right now. Spray your crops now before the wind picks up and wastes your medicine.,Before 10 AM,spray,manual,c6f95908-e019-4c4f-9b70-d4134f69f285,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Breezy,Light Rain,irrigation,STABLE,15,Irrigation Safe,WATERING: The ground is dry. Best to water in the early morning so the plants stay strong during the heat.,,droplet,manual,cc635b50-3b4f-481c-998a-27f99f8b107b,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Strong Gusts,Dry,fungal_risk,CAUTION,45,Monitor Fungal Risk,DISEASE ALERT: It is very damp and warm. Check your leaves for rot and use protection to save your harvest.,,warning,manual,8fbadf19-93a7-4bd0-a722-972a7d234288,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Strong Gusts,Dry,field_work,CAUTION,45,Limit Field Work Hours,FIELD WORK: It is getting very hot. Do your heavy work while it is still cool to keep yourself and your plants healthy.,Before 10 AM or After 5 PM,tractor,manual,dbac1062-3abc-4ad3-afc3-bd2d77f6b357,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Strong Gusts,Light Rain,irrigation,CAUTION,45,Irrigation Caution,WATERING: The ground is dry. Best to water in the early morning so the plants stay strong during the heat.,Before 8 AM,droplet,manual,73f80638-030e-4636-9b86-acd1ef65ed4c,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Strong Gusts,Light Rain,spraying,CAUTION,45,Spray With Caution,SPRAYING: The air is calm right now. Spray your crops now before the wind picks up and wastes your medicine.,Before 10 AM,spray,manual,fea4514a-e702-431a-8354-4048a04e9c57,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Strong Gusts,Light Rain,fungal_risk,CAUTION,45,Monitor Fungal Risk,DISEASE ALERT: It is very damp and warm. Check your leaves for rot and use protection to save your harvest.,,warning,manual,4d6ae455-6fc5-49bf-acf1-7dff8d94319d,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Strong Gusts,Light Rain,field_work,CAUTION,45,Limit Field Work Hours,FIELD WORK: It is getting very hot. Do your heavy work while it is still cool to keep yourself and your plants healthy.,Before 10 AM or After 5 PM,tractor,manual,77cbf8d8-d3b5-4aa2-84f2-1290d3fede2b,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Strong Gusts,Heavy Rain,irrigation,CAUTION,45,Irrigation Caution,WATERING: The ground is dry. Best to water in the early morning so the plants stay strong during the heat.,Before 8 AM,droplet,manual,16439e51-a240-49fe-85c5-326ec1090877,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Strong Gusts,Heavy Rain,spraying,CAUTION,45,Spray With Caution,SPRAYING: The air is calm right now. Spray your crops now before the wind picks up and wastes your medicine.,Before 10 AM,spray,manual,bbbb1e87-acbf-467f-b663-f213ff8c24f9,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Strong Gusts,Heavy Rain,fungal_risk,CAUTION,45,Monitor Fungal Risk,DISEASE ALERT: It is very damp and warm. Check your leaves for rot and use protection to save your harvest.,,warning,manual,64ed6947-02c7-46ab-a9f3-ae5f4c308d7a,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Very Dry,Strong Gusts,Heavy Rain,field_work,CAUTION,45,Limit Field Work Hours,FIELD WORK: It is getting very hot. Do your heavy work while it is still cool to keep yourself and your plants healthy.,Before 10 AM or After 5 PM,tractor,manual,da2ea3d8-7e0a-4666-a6e6-9c0484c6af20,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Calm,Dry,irrigation,STABLE,15,Irrigation Safe,WATERING: The ground is dry. Best to water in the early morning so the plants stay strong during the heat.,,droplet,manual,bbddbad0-22cf-4722-ae2c-ed5dc4221f3b,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Calm,Dry,spraying,STABLE,15,Good Spraying Conditions,SPRAYING: The air is calm right now. Spray your crops now before the wind picks up and wastes your medicine.,,spray,manual,bbcef784-4f4d-4a5c-98f3-5911a2f03b15,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Calm,Dry,fungal_risk,STABLE,15,Low Fungal Risk,DISEASE ALERT: It is very damp and warm. Check your leaves for rot and use protection to save your harvest.,,shield,manual,d920a276-7cee-4b6c-bb3f-26da02f709d4,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Calm,Dry,field_work,STABLE,15,Good Field Work Day,FIELD WORK: It is getting very hot. Do your heavy work while it is still cool to keep yourself and your plants healthy.,,tractor,manual,73be9624-6b09-4120-a418-f4e6355cb02c,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Calm,Light Rain,irrigation,STABLE,15,Irrigation Safe,WATERING: The ground is dry. Best to water in the early morning so the plants stay strong during the heat.,,droplet,manual,4aa0d43e-9743-48a0-8a75-14b593c105ee,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Calm,Light Rain,spraying,STABLE,15,Good Spraying Conditions,SPRAYING: The air is calm right now. Spray your crops now before the wind picks up and wastes your medicine.,,spray,manual,9afd217e-60d8-48a5-a0a1-2f06c8b4f69d,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Calm,Light Rain,fungal_risk,STABLE,15,Low Fungal Risk,DISEASE ALERT: It is very damp and warm. Check your leaves for rot and use protection to save your harvest.,,shield,manual,81c064db-6b1c-44be-a831-b8eef643cdca,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Calm,Light Rain,field_work,STABLE,15,Good Field Work Day,FIELD WORK: It is getting very hot. Do your heavy work while it is still cool to keep yourself and your plants healthy.,,tractor,manual,6e1713e0-be5c-4039-995c-2f9027c521aa,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Calm,Heavy Rain,irrigation,STABLE,15,Irrigation Safe,WATERING: The ground is dry. Best to water in the early morning so the plants stay strong during the heat.,,droplet,manual,dac14338-100d-4a02-aeea-6abcae1e4eac,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Calm,Heavy Rain,spraying,STABLE,15,Good Spraying Conditions,SPRAYING: The air is calm right now. Spray your crops now before the wind picks up and wastes your medicine.,,spray,manual,1e904b20-1e42-418b-a515-197f4d3a34e5,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Calm,Heavy Rain,fungal_risk,STABLE,15,Low Fungal Risk,DISEASE ALERT: It is very damp and warm. Check your leaves for rot and use protection to save your harvest.,,shield,manual,6b722c1c-85f7-48ae-8368-f15c051f2d11,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Calm,Heavy Rain,field_work,STABLE,15,Good Field Work Day,FIELD WORK: It is getting very hot. Do your heavy work while it is still cool to keep yourself and your plants healthy.,,tractor,manual,a81ce5e8-a70b-44eb-b81e-bf0aec8a82fc,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Breezy,Dry,irrigation,STABLE,15,Irrigation Safe,WATERING: The ground is dry. Best to water in the early morning so the plants stay strong during the heat.,,droplet,manual,dbdaf585-b52d-49c5-af67-50e7f9f3ac70,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Breezy,Dry,spraying,STABLE,15,Good Spraying Conditions,SPRAYING: The air is calm right now. Spray your crops now before the wind picks up and wastes your medicine.,,spray,manual,cb5cf91d-24db-41e6-9473-9e4c47ea1baa,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Breezy,Dry,fungal_risk,STABLE,15,Low Fungal Risk,DISEASE ALERT: It is very damp and warm. Check your leaves for rot and use protection to save your harvest.,,shield,manual,9442d847-dc5e-4a1c-ba54-0b511154f700,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Breezy,Dry,field_work,STABLE,15,Good Field Work Day,FIELD WORK: It is getting very hot. Do your heavy work while it is still cool to keep yourself and your plants healthy.,,tractor,manual,9069160e-5653-4277-ad36-bc386f31fd58,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Breezy,Light Rain,spraying,STABLE,15,Good Spraying Conditions,SPRAYING: The air is calm right now. Spray your crops now before the wind picks up and wastes your medicine.,,spray,manual,794b44e8-6fe5-4b03-90b0-d46901e56952,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Breezy,Light Rain,fungal_risk,STABLE,15,Low Fungal Risk,DISEASE ALERT: It is very damp and warm. Check your leaves for rot and use protection to save your harvest.,,shield,manual,5ef12133-da10-460c-a792-9c20ebfb2a78,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Breezy,Light Rain,field_work,STABLE,15,Good Field Work Day,FIELD WORK: It is getting very hot. Do your heavy work while it is still cool to keep yourself and your plants healthy.,,tractor,manual,4e840783-9fe9-49e6-bf32-5844d25d4589,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Breezy,Heavy Rain,irrigation,STABLE,15,Irrigation Safe,WATERING: The ground is dry. Best to water in the early morning so the plants stay strong during the heat.,,droplet,manual,01875e40-60f4-4660-966f-50a2884a222c,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Breezy,Heavy Rain,spraying,STABLE,15,Good Spraying Conditions,SPRAYING: The air is calm right now. Spray your crops now before the wind picks up and wastes your medicine.,,spray,manual,efc69ba3-8a7b-4d24-b59d-12dc9cd9dde4,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Breezy,Heavy Rain,fungal_risk,STABLE,15,Low Fungal Risk,DISEASE ALERT: It is very damp and warm. Check your leaves for rot and use protection to save your harvest.,,shield,manual,45d3c2f5-cb9b-4159-8625-8fdc495a0412,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Breezy,Heavy Rain,field_work,STABLE,15,Good Field Work Day,FIELD WORK: It is getting very hot. Do your heavy work while it is still cool to keep yourself and your plants healthy.,,tractor,manual,ab4a6708-9f5b-4105-a687-4ef7a7c169d8,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Strong Gusts,Dry,irrigation,CAUTION,45,Irrigation Caution,WATERING: The ground is dry. Best to water in the early morning so the plants stay strong during the heat.,Before 8 AM,droplet,manual,f2920987-32c2-46ad-84eb-672555233cc9,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Strong Gusts,Dry,spraying,CAUTION,45,Spray With Caution,SPRAYING: The air is calm right now. Spray your crops now before the wind picks up and wastes your medicine.,Before 10 AM,spray,manual,efa80f0a-8172-49e1-947c-acca6caca411,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Strong Gusts,Dry,fungal_risk,CAUTION,45,Monitor Fungal Risk,DISEASE ALERT: It is very damp and warm. Check your leaves for rot and use protection to save your harvest.,,warning,manual,8ec4d466-b872-4994-9ec5-b7c4ec51a2c3,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Strong Gusts,Dry,field_work,CAUTION,45,Limit Field Work Hours,FIELD WORK: It is getting very hot. Do your heavy work while it is still cool to keep yourself and your plants healthy.,Before 10 AM or After 5 PM,tractor,manual,2e8c3da0-8b49-42a8-83d9-d436e6e77552,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Strong Gusts,Light Rain,irrigation,CAUTION,45,Irrigation Caution,WATERING: The ground is dry. Best to water in the early morning so the plants stay strong during the heat.,Before 8 AM,droplet,manual,c8fbe7c3-da42-4e70-ba10-19d29251637c,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Strong Gusts,Light Rain,spraying,CAUTION,45,Spray With Caution,SPRAYING: The air is calm right now. Spray your crops now before the wind picks up and wastes your medicine.,Before 10 AM,spray,manual,09e90d0f-d99a-47f7-839c-f682ed8587c8,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Strong Gusts,Light Rain,fungal_risk,CAUTION,45,Monitor Fungal Risk,DISEASE ALERT: It is very damp and warm. Check your leaves for rot and use protection to save your harvest.,,warning,manual,b06c26c6-aec9-427f-9a54-491f5cf23e99,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Strong Gusts,Light Rain,field_work,CAUTION,45,Limit Field Work Hours,FIELD WORK: It is getting very hot. Do your heavy work while it is still cool to keep yourself and your plants healthy.,Before 10 AM or After 5 PM,tractor,manual,e7638327-ebac-4e1a-b446-2ef062f3fa11,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Strong Gusts,Heavy Rain,irrigation,CAUTION,45,Irrigation Caution,WATERING: The ground is dry. Best to water in the early morning so the plants stay strong during the heat.,Before 8 AM,droplet,manual,eb9cdd8e-64f4-4ae5-926f-2f3bfca52c7a,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Strong Gusts,Heavy Rain,spraying,CAUTION,45,Spray With Caution,SPRAYING: The air is calm right now. Spray your crops now before the wind picks up and wastes your medicine.,Before 10 AM,spray,manual,c0f7659c-e60c-4024-a130-8e5a02552a58,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Strong Gusts,Heavy Rain,fungal_risk,CAUTION,45,Monitor Fungal Risk,DISEASE ALERT: It is very damp and warm. Check your leaves for rot and use protection to save your harvest.,,warning,manual,a7b33fbf-13a5-411f-9fea-a7442ac23780,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Balanced,Strong Gusts,Heavy Rain,field_work,CAUTION,45,Limit Field Work Hours,FIELD WORK: It is getting very hot. Do your heavy work while it is still cool to keep yourself and your plants healthy.,Before 10 AM or After 5 PM,tractor,manual,3be3af8a-a3e0-4b8c-b128-2db21f4a6ba0,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Humid,Calm,Dry,irrigation,STABLE,15,Irrigation Safe,WATERING: The ground is dry. Best to water in the early morning so the plants stay strong during the heat.,,droplet,manual,fb69a6be-4c7e-4548-9164-cd2be9ad00eb,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Humid,Calm,Dry,spraying,STABLE,15,Good Spraying Conditions,SPRAYING: The air is calm right now. Spray your crops now before the wind picks up and wastes your medicine.,,spray,manual,ef5524b3-7e5e-40d7-9c39-8b3d07e171e7,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Humid,Calm,Dry,fungal_risk,STABLE,15,Low Fungal Risk,DISEASE ALERT: It is very damp and warm. Check your leaves for rot and use protection to save your harvest.,,shield,manual,1c8ee2e2-756f-41e0-85c1-1e69e0eb610e,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Humid,Calm,Dry,field_work,STABLE,15,Good Field Work Day,FIELD WORK: It is getting very hot. Do your heavy work while it is still cool to keep yourself and your plants healthy.,,tractor,manual,280ffa27-4eee-44fc-baf5-52efbc271e48,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Humid,Calm,Light Rain,irrigation,STABLE,15,Irrigation Safe,WATERING: The ground is dry. Best to water in the early morning so the plants stay strong during the heat.,,droplet,manual,7f39b25f-7d39-4d35-bbf8-866d9f101cd1,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Humid,Calm,Light Rain,spraying,STABLE,15,Good Spraying Conditions,SPRAYING: The air is calm right now. Spray your crops now before the wind picks up and wastes your medicine.,,spray,manual,1c1b6ad5-e6a8-4cb4-bf59-23afe6e4771e,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Humid,Calm,Light Rain,fungal_risk,STABLE,15,Low Fungal Risk,DISEASE ALERT: It is very damp and warm. Check your leaves for rot and use protection to save your harvest.,,shield,manual,5ad6dd5b-9a47-4e4d-9454-2ea0e10ce4f0,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Humid,Calm,Light Rain,field_work,STABLE,15,Good Field Work Day,FIELD WORK: It is getting very hot. Do your heavy work while it is still cool to keep yourself and your plants healthy.,,tractor,manual,c904fedb-c3b0-4f56-a2df-58bf0dcc847b,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Humid,Calm,Heavy Rain,irrigation,STABLE,15,Irrigation Safe,WATERING: The ground is dry. Best to water in the early morning so the plants stay strong during the heat.,,droplet,manual,d59e2233-0af2-428e-aa95-3265f749b9dc,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Humid,Calm,Heavy Rain,spraying,STABLE,15,Good Spraying Conditions,SPRAYING: The air is calm right now. Spray your crops now before the wind picks up and wastes your medicine.,,spray,manual,4396fcfa-36f6-484f-915a-6b6984149d6a,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Humid,Calm,Heavy Rain,fungal_risk,STABLE,15,Low Fungal Risk,DISEASE ALERT: It is very damp and warm. Check your leaves for rot and use protection to save your harvest.,,shield,manual,17648e2f-c0ae-4a79-b567-400cca30d784,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Humid,Calm,Heavy Rain,field_work,STABLE,15,Good Field Work Day,FIELD WORK: It is getting very hot. Do your heavy work while it is still cool to keep yourself and your plants healthy.,,tractor,manual,e9d60f7f-d274-4dc4-a9be-f280fc3d373d,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
Moderate,Humid,Breezy,Dry,irrigation,CAUTION,45,Irrigation Caution,WATERING: The ground is dry. Best to water in the early morning so the plants stay strong during the heat.,Before 8 AM,droplet,manual,a8f0da9e-bcaa-4e92-8028-593c93de9e78,2026-03-04 09:37:52.714000+00:00,2026-03-04 09:37:52.714000+00:00,
