category,item_name,disease_name,scientific_name,treatment,language,uid,created_at,updated_at,deleted_at
crop,Beans,Anthracnose,Colletotrichum lindemuthianum,Treat seeds with Carbendazim. Spray Mancozeb (2.5g/L) on the crop.,en,knowledge_base_083477f6-3e63-4d0c-974d-c0381f7a57a9,2026-01-12 19:09:08.013000+00:00,,
crop,Beetroot,Cercospora Leaf Spot (Fungal),Cercospora beticola,The most common issue. Look for circular spots with grey centers and reddish-purple borders. Spray Mancozeb (2g/liter) or Carbendazim (1g/liter). This fungus loves humidity. Space plants properly to ensure leaves dry quickly. Remove and burn heavily infected leaves immediately to stop the spread.,en,knowledge_base_9af5b773-b8ba-46f1-b320-8e6572786caa,2026-01-12 19:09:08.013000+00:00,,
crop,Beetroot,Alternaria Leaf Spot (Fungal),Alternaria alternata,"Dark brown to black spots with ""target-like"" rings appear on leaves. Spray Chlorothalonil (2g/liter) or Copper Oxychloride (3g/liter). It usually attacks older leaves first. Ensure the soil has enough Potassium (Potash) to keep leaves strong. Clean up plant debris after harvest to kill hidden spores.",en,knowledge_base_da79a2a4-913c-4944-966f-94e97e5508af,2026-01-12 19:09:08.013000+00:00,,
crop,Beetroot,Downy Mildew (Fungal),Peronospora farinosa f.sp. betae,"Pale yellow patches on top of leaves with grey-purple ""fuzz"" underneath. Spray Metalaxyl + Mancozeb (2g/liter). This disease loves cool, wet weather. Avoid overhead watering in the evening. Rotate beetroot with crops like onions or carrots for 2 years to break the fungus life cycle.",en,knowledge_base_fb4b32ef-8705-411a-9eb2-8511bf3a13cc,2026-01-12 19:09:08.013000+00:00,,
crop,Beetroot,Powdery Mildew (Fungal),Erysiphe betae,"White, flour-like powder appears on both sides of the leaf. Spray wettable Sulfur (3g/liter) or Hexaconazole (2ml/liter). A simple home remedy is a baking soda and water mixture (5g/liter). Avoid over-using Nitrogen, which makes leaves soft and easy to infect.",en,knowledge_base_f3aaeb82-7191-4ece-8b33-3f0a0b24527f,2026-01-12 19:09:08.013000+00:00,,
crop,Beetroot,Beet Mosaic Virus (Viral),Beet mosaic virus,"Patchy ""mosaic"" of light and dark green on wrinkled leaves. Spread by Aphids. There is no chemical cure. Control the insects: use yellow sticky traps and spray Neem oil (5ml/liter) or Imidacloprid (0.5ml/liter). Pull out and bury infected plants immediately. Keep the field free of weeds.",en,knowledge_base_c7458a3c-8d0b-466e-8ee4-981ee41cd6e7,2026-01-12 19:09:08.013000+00:00,,
crop,Beetroot,Bacterial Leaf Spot (Bacterial),Pseudomonas syringae pv. aptata,"Small, irregular, water-soaked spots that turn dark brown or black. Spray Streptocycline (1g in 10L) mixed with Copper Oxychloride (2g/liter). Avoid working in the field when leaves are wet. Use drip irrigation to keep foliage dry and ensure excellent field drainage.",en,knowledge_base_84aab1c4-8cb7-4e68-8fa4-9be750060d20,2026-01-12 19:09:08.013000+00:00,,
crop,Beetroot,Phoma Leaf Spot (Fungal),Phoma betae,"Large, light-brown spots with tiny black dots inside. Often a sign of Boron deficiency. Spray Carbendazim (1g/liter) and apply Borax (10kg/acre) to the soil. You can also spray a Boron-based liquid fertilizer (2g/liter) once during the growth stage to strengthen the plant.",en,knowledge_base_000580d2-94eb-4aed-b65d-c0586280c376,2026-01-12 19:09:08.013000+00:00,,
crop,Beetroot,Beet Curly Top Virus (Viral),Beet curly top virus,"Leaves curl upward, become leathery, and veins turn purple. Spread by Beet Leafhoppers. No cure exists; focus on insects. Spray Dimethoate (2ml/liter) and use yellow sticky traps. Remove and destroy infected plants immediately to prevent the whole field from being stunted.",en,knowledge_base_3290b9b1-bb1d-4b56-ac10-f19270c31a1a,2026-01-12 19:09:08.013000+00:00,,
crop,Beetroot,Beet Rust* (Fungal),Uromyces betae,"Small, raised, reddish-orange ""pustules"" (like rust on iron) on leaf undersides. Spray Mancozeb (2g/liter) or Propiconazole (1ml/liter). This usually appears in very humid conditions. Avoid over-irrigating and ensure the field is free of wild weeds that act as host plants.",en,knowledge_base_8fe58f89-9d25-48c3-9356-f25a3d26006f,2026-01-12 19:09:08.013000+00:00,,
crop,Beetroot,Ramularia Leaf Spot* (Fungal),Ramularia beticola,"Very similar to Cercospora but spots are more irregular and have a white, crusty center. Spray Carbendazim (1g/liter) or Mancozeb (2g/liter). This fungus prefers cooler temperatures. Proper crop rotation and removing infected leaf trash after harvest are the best ways to prevent a breakout.",en,knowledge_base_2bb7a46e-6864-462c-b8a8-2329734203f4,2026-01-12 19:09:08.013000+00:00,,
crop,Beetroot,Damping Off* (Fungal),"Pythium spp., Rhizoctonia solani","Kills young seedlings in the nursery by rotting the stem at the soil line. Treat seeds with Trichoderma (10g/kg) before sowing. Use raised beds for better drainage. If rot appears, drench soil with Copper Oxychloride (2g/liter). Do not over-water the young seedlings.",en,knowledge_base_fad06f8d-1b61-49d2-98df-0886d62eadf3,2026-01-12 19:09:08.013000+00:00,,
crop,Beetroot,Verticillium Wilt* (Fungal),Verticillium dahliae,"Outer leaves turn yellow and wilt, even if the soil is wet. The inner core of the beetroot may show dark streaks. There is no effective chemical spray. Rotate crops with non-host plants like corn or wheat. Solarise the soil in summer by covering it with plastic to kill the fungus.",en,knowledge_base_d8b1fdae-9388-48c0-832b-fcb11aca269b,2026-01-12 19:09:08.013000+00:00,,
crop,Beetroot,Yellows Virus* (Viral),Beet yellows virus,"Older leaves turn thick, brittle, and bright yellow between the veins. Spread by Aphids. There is no cure for the virus. Use yellow sticky traps (15/acre) and spray Thiamethoxam (0.3g/liter) to control the aphids. Keeping the field borders clean of wild weeds is crucial for prevention.",en,knowledge_base_19a2ddab-465c-40ac-a975-95105c9a4021,2026-01-12 19:09:08.013000+00:00,,
crop,Bengal Gram,Fusarium Wilt,Fusarium oxysporum,Treat seeds with Trichoderma (10g/kg). Deep summer ploughing helps.,en,knowledge_base_707ff902-1ee1-4f5e-9eef-74b5be46c7d3,2026-01-12 19:09:08.013000+00:00,,
crop,Bitter Gourd,Downy Mildew (Fungal),Pseudoperonospora cubensis,"You will see yellow, angular patches on top of leaves and purplish-grey ""fuzz"" underneath. Spray Metalaxyl + Mancozeb (2g/liter) immediately. Avoid overhead watering. Growing vines on a trellis (Mandap) is the best way to keep leaves dry and stop the fungus from spreading.",en,knowledge_base_26356004-0409-4d6f-955c-579d88d93511,2026-01-12 19:09:08.013000+00:00,,
crop,Bitter Gourd,Powdery Mildew (Fungal),Podosphaera xanthii / Erysiphe cichoracearum,"White, flour-like powder appears on both sides of the leaf. Spray wettable Sulfur (3g/liter) or Carbendazim (1g/liter). A simple home remedy is a mixture of baking soda and water (5g/liter). Avoid over-using Nitrogen, which makes leaves soft and easy to infect. Keeping the field weed-free reduces spores.",en,knowledge_base_2b5ea1e4-6864-4a13-be3d-154d30946117,2026-01-12 19:09:08.013000+00:00,,
crop,Bitter Gourd,Mosaic Virus (Viral),Cucumber mosaic virus (CMV) / related cucurbit mosaic viruses,Leaves show light and dark green patches and become wrinkled. Spread by Aphids. There is no chemical cure. Control the insects: use yellow sticky traps (15 per acre) and spray Neem oil (5ml/liter) or Imidacloprid (0.5ml/liter). Pull out and bury infected plants immediately to save the rest of the field.,en,knowledge_base_a37bf221-4188-4477-b771-6e48aede2536,2026-01-12 19:09:08.013000+00:00,,
crop,Cotton,Parawilt (Sudden Wilt),Water stress disorder,"Remove excess water immediately after heavy rain or irrigation. Spray 2% urea or DAP solution on leaves to help plants recover. If available, drench roots with Cobalt Chloride. Proper water management prevents further plant damage.",en,knowledge_base_8cb4569c-c516-4945-9e12-1c26a7c39223,2026-01-12 19:09:08.013000+00:00,,
crop,Bitter Gourd,Fusarium Wilt (Fungal),Fusarium oxysporum f. sp. momordicae,"The vine yellows and wilts suddenly, usually during the hot part of the day. This is soil-borne. Drench the soil with Carbendazim (2g/liter). The best prevention is to mix Trichoderma viride (2kg/acre) with manure before planting. Use certified seeds and ensure the field has excellent drainage.",en,knowledge_base_57591133-9f3a-4527-8ff8-1acf6674daf0,2026-01-12 19:09:08.013000+00:00,,
crop,Bitter Gourd,Fruit Rot / Belly Rot (Fungal),Pythium spp. / Rhizoctonia solani,"Fruit turns soft and watery where it touches wet soil, often with a white mold. Spray Mancozeb (3g/liter) or Copper Oxychloride (2g/liter). Staking the vines is the best way to keep fruit off the ground. Remove and destroy rotted fruits immediately. Using plastic mulch prevents soil spores from splashing.",en,knowledge_base_084b9545-6275-4a8f-a054-d5cbd8f7cb3b,2026-01-12 19:09:08.013000+00:00,,
crop,Bitter Gourd,Angular Leaf Spot (Bacterial),Pseudomonas syringae pv. lachrymans,"Small, water-soaked spots that look ""square"" because they are blocked by leaf veins. Spray Streptocycline (1g in 10L) mixed with Copper Oxychloride (20g). This bacteria spreads through splashing water. Avoid working in the field when leaves are wet. Use drip irrigation instead of sprinklers.",en,knowledge_base_34ce7ccc-e11f-4443-8d45-8b67a278c233,2026-01-12 19:09:08.013000+00:00,,
crop,Bitter Gourd,Cercospora Leaf Spot (Fungal),Cercospora citrullina,"Small circular spots with grey centers and brown borders. Spray Mancozeb (2g/liter) or Chlorothalonil (2g/liter). This fungus loves hot, humid weather. Prune lower leaves near the soil to improve air movement. Clean up and burn old plant debris after harvest to kill hidden spores.",en,knowledge_base_1d41a44b-5fc1-458e-bbef-f135b66feb95,2026-01-12 19:09:08.013000+00:00,,
crop,Bitter Gourd,Anthracnose (Fungal),Colletotrichum orbiculare,"Water-soaked yellowish spots on leaves and sunken black spots on fruit. Spray Carbendazim (1g/liter) or Propiconazole (1ml/liter). Treat seeds with Thiram (3g/kg) before sowing. Avoid evening irrigation; morning watering allows the sun to dry the leaves quickly, preventing infection.",en,knowledge_base_c80d82a1-52e3-42e9-b30f-eefe5c9d08c5,2026-01-12 19:09:08.013000+00:00,,
crop,Bitter Gourd,Witches' Broom (Phytoplasma),Candidatus Phytoplasma asteris,"The vine grows hundreds of tiny, crowded leaves that look like a broom. Spread by leafhoppers. Once infected, it cannot be cured. Pull out and bury the vine immediately. Control leafhoppers with yellow sticky traps and sprays of Dimethoate (2ml/liter) or Neem Oil.",en,knowledge_base_e3cb66da-a70c-456d-b969-632f8d5edee4,2026-01-12 19:09:08.013000+00:00,,
crop,Bitter Gourd,Yellow Vein Mosaic* (Viral),Bitter gourd yellow vein mosaic virus (BgYVMV),"The veins of the leaf turn bright yellow while the rest stays green. This is spread by Whiteflies. Control the whiteflies with yellow sticky traps and sprays of Acetamiprid (0.4g/liter). Pull out infected plants immediately. Keep the field free of weeds like Malvastrum, which act as a home for the virus.",en,knowledge_base_8dc1ac88-46d3-4b30-8975-faa3795fb4e7,2026-01-12 19:09:08.013000+00:00,,
crop,Bitter Gourd,Scab* (Fungal),Cladosporium cucumerinum,"Small, water-soaked spots on leaves that turn into ""shot holes."" Fruit develops oozing brown spots. Spray Chlorothalonil (2g/liter) or Mancozeb (2g/liter). This disease loves cool, moist nights. Avoid planting too early in the winter. Use disease-free seeds and rotate crops with non-cucurbits for 2 years.",en,knowledge_base_d5a0df42-81c2-445c-bd70-5b68f284ad0f,2026-01-12 19:09:08.013000+00:00,,
crop,Bitter Gourd,Alternaria Blight* (Fungal),Alternaria cucumerina,"Small brown spots with ""target-like"" rings appear on leaves. Spray Mancozeb (2.5g/liter) or Iprodione. This usually attacks older leaves first. Ensure the plant has enough nutrition (especially Potash) to stay strong. Remove old leaves from the base to stop the fungus from climbing up the vine.",en,knowledge_base_d44879ce-d4b1-4152-8813-03f273b0fb7f,2026-01-12 19:09:08.013000+00:00,,
crop,Bitter Gourd,Root Knot Nematode* (Parasitic),Meloidogyne incognita / Meloidogyne javanica,Plants look stunted and yellow; roots have round knots or swellings. Plant African Marigold flowers between bitter gourd rows. Apply Neem Cake (250kg/acre) to the soil during land preparation. Use the bio-agent Purpureocillium lilacinum in the soil to naturally kill the worm eggs.,en,knowledge_base_cb027e6f-6bf3-45bb-afdb-78cfc9461eba,2026-01-12 19:09:08.013000+00:00,,
crop,Bitter Gourd,Damping Off (Fungal),Pythium aphanidermatum / Rhizoctonia solani / Fusarium spp.,"Kills young seedlings by rotting the stem at the soil line. Treat seeds with Trichoderma (10g/kg) or Thiram (3g/kg). Use raised nursery beds and do not over-water. If you see rot, drench the soil with Copper Oxychloride (2g/liter). Ensure the nursery is in a sunny, well-ventilated spot.",en,knowledge_base_c591b00c-9973-4428-9c05-852730caa0a8,2026-01-12 19:09:08.013000+00:00,,
crop,Black Gram,Yellow Mosaic Virus,Mungbean yellow mosaic virus,Control Whiteflies with Thiamethoxam (0.3g/L). Grow resistant varieties.,en,knowledge_base_470c1fd2-c209-4f84-8432-a2a7a0bb73d1,2026-01-12 19:09:08.013000+00:00,,
crop,Bottle Gourd,Cucumber Green Mottle Mosaic (CGMMV) (Viral),Cucumber green mottle mosaic virus,"Unlike common mosaic, this causes ""mottled"" green patches and can be carried inside the seed. Plants look healthy at first but suddenly produce small, tasteless fruit with dark green ""splotches."" Treatment: No cure. Pull out plants immediately. Prevention: Only buy certified ""Virus-Free"" seeds. Soak seeds in a 10% solution of Tri-sodium Phosphate (TSP) for 20 minutes if you suspect seed contamination.",en,knowledge_base_27f5c0fa-c9ba-47b4-a1d8-1ba6256182b7,2026-01-12 19:09:08.013000+00:00,,
crop,Bottle Gourd,Chlorotic Curly Stunt (CCSD) (Viral),Cucurbit chlorotic curly stunt virus,"Mostly seen in Northern India (Delhi/Haryana). Plants are severely stunted with very small, curly, yellow leaves. Spread by Whiteflies. Treatment: No cure. Control whiteflies with yellow sticky traps and Acetamiprid (0.2g/liter). Removing the weeds around the field is vital, as this virus hides in wild grasses during the off-season.",en,knowledge_base_71104b4f-8a8e-44b7-940f-cc42c35316ff,2026-01-12 19:09:08.013000+00:00,,
crop,Bottle Gourd,Southern Blight / Sclerotium Rot (Fungal),Sclerotium rolfsii,"A thick, white, ""fan-shaped"" mold grows on the soil and stem base. You will see small, round, brown balls (like mustard seeds) in the mold. Treatment: Drench the soil with Hexaconazole (2ml/liter) or Tebuconazole. This fungus stays in the soil for years. Rotate with non-susceptible crops like Rice or Wheat. Solarize your soil in summer with plastic sheets to kill the ""seeds.""",en,knowledge_base_43817377-1c98-45cc-b772-d0588a5e7e0c,2026-01-12 19:09:08.013000+00:00,,
crop,Bottle Gourd,Phytophthora Blight (Fungal),Phytophthora capsici,"The whole vine develops large, dark, ""greasy"" water-soaked patches and collapses overnight during heavy monsoons. Treatment: Spray Metalaxyl + Mancozeb (2g/liter) or Cymoxanil (2g/liter). This is a ""water mold."" Ensure your raised beds are at least 1 foot high and that water never touches the main stem ""collar"" of the plant.",en,knowledge_base_0bbd5cec-934e-4933-8f51-647a56f89c07,2026-01-12 19:09:08.013000+00:00,,
crop,Cotton,Fusarium Wilt,Fusarium oxysporum f.sp. vasinfectum,Use wilt-resistant cotton varieties. Mix Trichoderma with compost and apply to soil during planting. Follow crop rotation with maize or jowar. These methods reduce fungus in soil and protect future crops.,en,knowledge_base_daf06084-5983-49d0-beb9-388d1e63bca3,2026-01-12 19:09:08.013000+00:00,,
crop,Bottle Gourd,Nitrogen Deficiency (Nutritional),No pathogen (Nitrogen deficiency),"Old leaves turn light green or yellow, starting from the tips. The whole plant looks ""pale."" Treatment: Apply Urea or Ammonium Nitrate to the soil. For a quick fix, use a foliar spray of 1% Urea (10g in 1L water). This is often mistaken for a virus; if the veins stay green, it is usually a nutrient issue, not a germ.",en,knowledge_base_ee342742-0880-40b3-b651-bec1ede28998,2026-01-12 19:09:08.013000+00:00,,
crop,Bottle Gourd,Boron Deficiency (Nutritional),No pathogen (Boron deficiency),"Fruits become crooked, deformed, and the skin looks ""corky"" or cracked. The growing tips of the vine may also die back. Treatment: Spray Borax (2g/liter) or Solubor once during the start of flowering. This is very common in sandy soils or after heavy rain that washes nutrients away.",en,knowledge_base_c42b371e-b2fe-4622-aeb5-57804ad5cd49,2026-01-12 19:09:08.013000+00:00,,
crop,Bottle Gourd,Blossom End Rot (Physiological),No pathogen (Calcium imbalance & moisture stress),"The bottom of the gourd (where the flower was) turns black, dry, and leathery. Treatment: This is caused by Calcium deficiency linked to irregular watering. Maintain a steady water schedule (don't let the soil go from bone-dry to flooded). Spray Calcium Nitrate (5g/liter) on the young fruits.",en,knowledge_base_2999df87-4fb8-40f7-b368-af1aa4f44f33,2026-01-12 19:09:08.013000+00:00,,
crop,Bottle Gourd,Phomopsis Blight* (Fungal),Phomopsis cucurbitae (Diaporthe cucurbitae),"Small circular grey spots on leaves and soft, light-brown sunken rot on the fruit. Treatment: Spray Carbendazim (1g/liter). This is very similar to Anthracnose but has tiny black dots in the center of the spots. Avoid overhead sprinklers; use drip irrigation to keep the fruit and leaves dry.",en,knowledge_base_f1f4f667-6eef-4718-9d1c-10bd59461c55,2026-01-12 19:09:08.013000+00:00,,
crop,Brinjal,Little Leaf (Phytoplasma),Candidatus Phytoplasma asteris,"This is the most serious Indian brinjal disease. Leaves become tiny, crowded, and bushy; the plant stops fruiting. It is spread by leafhoppers. There is no cure for an infected plant—pull it out and bury it immediately. To prevent it, spray Dimethoate (2ml/liter) or Neem oil to kill the insects. Growing a border of maize or bajra helps block the leafhoppers.",en,knowledge_base_c9dd3205-671a-4763-b27b-5b5bc1b294a7,2026-01-12 19:09:08.013000+00:00,,
crop,Brinjal,Phomopsis Blight (Fungal),Phomopsis vexans (Diaporthe vexans),"You will see circular brown spots on leaves and soft, sunken rotted spots on fruits. To treat, spray Mancozeb (2g/liter) or Carbendazim (1g/liter). Always treat seeds with Thiram (3g/kg) before sowing. Remove and burn any infected fruits or leaves immediately to stop the fungal spores from flying to healthy plants.",en,knowledge_base_175e373e-f58e-426f-9da7-482a65ed68f4,2026-01-12 19:09:08.013000+00:00,,
crop,Brinjal,Bacterial Wilt (Bacterial),Ralstonia solanacearum,"The plant suddenly droops and dies while still green. There is no chemical cure. Use resistant varieties like Arka Neelkanth. Before planting, dip seedling roots in a Pseudomonas fluorescens solution. Rotate your crop with grains like ragi or maize; never plant brinjal where you just grew tomatoes, chillies, or potatoes.",en,knowledge_base_6cd42f37-1bd7-488a-990d-ffffb768370f,2026-01-12 19:09:08.013000+00:00,,
crop,Brinjal,Cercospora Leaf Spot (Fungal),Cercospora melongenae,"Small, circular yellow-brown spots appear on leaves. Spray Copper Oxychloride (3g/liter) or Mancozeb (2g/liter). This fungus loves high humidity and crowded plants. Ensure proper spacing so sunlight hits the lower leaves. Removing older, infected leaves from the bottom of the plant helps reduce the ""fungal load"" in your field.",en,knowledge_base_1c776b32-27e3-45c0-8f63-82139c86ac19,2026-01-12 19:09:08.013000+00:00,,
crop,Brinjal,Alternaria Leaf Spot (Fungal),Alternaria solani / Alternaria alternata,"Look for dark-brown spots with ""concentric rings"" (like a target). Spray Chlorothalonil (2g/liter) or Mancozeb (2.5g/liter). Since the fungus survives on old plant debris, always clean your field after harvest. Deep summer plowing is very helpful in killing the spores hiding in the ground during the hot months.",en,knowledge_base_c6639263-3326-43ca-b21a-dacda83d5eaf,2026-01-12 19:09:08.013000+00:00,,
crop,Brinjal,Damping Off (Fungal),Pythium spp. / Rhizoctonia solani / Fusarium spp.,"This kills young seedlings in the nursery by rotting the stem at soil level. Treat seeds with Trichoderma viride (4g/kg) before sowing. Always use raised nursery beds for better drainage. If you see rot, drench the soil with Copper Oxychloride (2g/liter). Keep the soil moist but never soggy.",en,knowledge_base_68dd22fd-9882-4075-8dca-f8fb51a829ae,2026-01-12 19:09:08.013000+00:00,,
